,title,year,rating,metascore,certificate,votes,runtime,gener,director,star1,star2,star3,star4,gross
44,Gulaal,2009,8.1,na,A,"14,068",140 min,"Crime, Drama, Thriller            ",Anurag Kashyap,Kay Kay Menon,Raj Singh Chaudhary,Jesse Randhawa,Deepak Dobriyal,0
45,Omkara,2006,8.1,na,A,"19,375",155 min,"Action, Crime, Drama            ",Vishal Bhardwaj,Ajay Devgn,Kareena Kapoor,Saif Ali Khan,Konkona Sen Sharma,$0.79M
46,Lage Raho Munna Bhai,2006,8.1,na,U,"43,559",144 min,"Comedy, Drama, Romance            ",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,$2.22M
47,Iqbal,2005,8.1,na,UA,"16,007",132 min,"Drama, Sport            ",Nagesh Kukunoor,Shreyas Talpade,Naseeruddin Shah,Shweta Basu Prasad,Yatin Karyekar,0
48,Munna Bhai M.B.B.S.,2003,8.1,na,U,"74,779",156 min,"Comedy, Drama            ",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,0
49,The Legend of Bhagat Singh,2002,8.1,na,U,"15,000",155 min,"Action, Biography, Drama            ",Rajkumar Santoshi,Ajay Devgn,Sushant Singh,D. Santosh,Akhilendra Mishra,0
50,Dil Chahta Hai,2001,8.1,na,Unrated,"67,423",183 min,"Comedy, Drama, Romance            ",Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,$0.30M
51,Sarfarosh,1999,8.1,na,A,"24,157",174 min,"Action, Drama            ",John Mathew Matthan,Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi,0
52,Lagaan: Once Upon a Time in India,2001,8.1,84,U,"106,098",224 min,"Drama, Musical, Sport            ",Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,$0.07M
53,Dilwale Dulhania Le Jayenge,1995,8.1,na,U,"64,181",189 min,"Drama, Romance            ",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,0
54,Chung Hing sam lam,1994,8.1,77,U,"65,970",102 min,"Comedy, Crime, Drama            ",Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,$0.60M
55,Deewaar,1975,8.1,na,U,"10,223",174 min,"Action, Crime, Drama            ",Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy,Parveen Babi,0
56,Badhaai ho,2018,8.0,na,UA,"28,643",124 min,"Comedy, Drama            ",Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra,0
57,Airlift,2016,8.0,na,UA,"53,244",130 min,"Drama, History            ",Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,0
58,Bajrangi Bhaijaan,2015,8.0,na,UA,"73,379",163 min,"Action, Adventure, Comedy            ",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,$8.18M
59,Baby,I) (,8.0,na,UA,"53,242",159 min,"Action, Thriller            ",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,0
60,Lion,2016,8.0,69,U,"217,985",118 min,"Biography, Drama            ",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,$51.74M
61,Ankhon Dekhi,2013,8.0,na,U,"10,384",107 min,"Comedy, Drama            ",Rajat Kapoor,Sanjay Mishra,Seema Bhargava,Rajat Kapoor,Taranjit Kaur,0
62,Manjhi: The Mountain Man,2015,8.0,na,U,"17,941",120 min,"Adventure, Biography, Drama            ",Ketan Mehta,Nawazuddin Siddiqui,Radhika Apte,Ashutosh Acharya,Shahzad Ahmed,0
63,Ugly,2013,8.0,na,A,"20,408",128 min,"Crime, Drama, Mystery            ",Anurag Kashyap,Rahul Bhatt,Ronit Roy,Tejaswini Kolhapure,Vineet Kumar Singh,0
64,Gully Boy,2019,8.0,65,UA,"32,778",154 min,"Drama, Music, Romance            ",Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,$5.57M
65,Special Chabbis,2013,8.0,na,UA,"51,560",144 min,"Crime, Drama, Thriller            ",Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill,$1.08M
66,Dev.D,2009,8.0,na,A,"28,993",144 min,"Drama, Romance            ",Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,$0.01M
67,My Name Is Khan,2010,8.0,50,UA,"99,510",165 min,Drama            ,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,$4.02M
68,Slumdog Millionaire,2008,8.0,84,UA,"805,765",120 min,"Drama, Romance            ",Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,$141.32M
69,The Avengers,2012,8.0,69,UA,"1,276,843",143 min,"Action, Adventure, Sci-Fi            ",Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,$623.28M
70,Company,2002,8.0,na,A,"14,638",142 min,"Action, Crime, Drama            ",Ram Gopal Varma,Ajay Devgn,Mohanlal,Manisha Koirala,Seema Biswas,0
71,Vaastav: The Reality,1999,8.0,na,A,"12,809",145 min,"Action, Crime, Drama            ",Mahesh Manjrekar,Sanjay Dutt,Namrata Shirodkar,Reema Lagoo,Shivaji Satam,0
72,Gandhi,1982,8.0,79,U,"219,274",191 min,"Biography, Drama, History            ",Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth,$52.77M
73,Knives Out,2019,7.9,82,UA,"482,512",130 min,"Comedy, Crime, Drama            ",Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,$165.36M
74,Super 30,2019,7.9,na,U,"21,750",154 min,"Biography, Drama            ",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh,Virendra Saxena,$2.27M
75,Padman,2018,7.9,na,UA,"21,892",140 min,"Comedy, Drama            ",R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor,Jyoti Subhash,$1.66M
76,Jab We Met,2007,7.9,na,U,"48,270",138 min,"Comedy, Drama, Romance            ",Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh,$0.41M
77,Life of Pi,2012,7.9,79,U,"587,152",127 min,"Adventure, Drama, Fantasy            ",Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,$124.99M
78,Iron Man,2008,7.9,79,UA,"954,441",126 min,"Action, Adventure, Sci-Fi            ",Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,$318.41M
79,Kal Ho Naa Ho,2003,7.9,54,U,"64,093",186 min,"Comedy, Drama, Musical            ",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,$1.79M
80,Lakshya,2004,7.9,na,UA,"21,034",186 min,"Action, Drama, Romance            ",Farhan Akhtar,Hrithik Roshan,Preity Zinta,Amitabh Bachchan,Om Puri,$0.75M
81,Hey Ram,2000,7.9,na,A,"11,664",186 min,"Crime, Drama, History            ",Kamal Haasan,Kamal Haasan,Shah Rukh Khan,Rani Mukerji,Hema Malini,$0.27M
82,Border,I) (,7.9,na,NA ,"14,079",176 min,"Action, Drama, History            ",J.P. Dutta,Sunny Deol,Sunil Shetty,Akshaye Khanna,Jackie Shroff,0
83,Auntie Mame,1958,7.9,na,NA ,"10,480",143 min,"Comedy, Drama, Romance            ",Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,Fred Clark,$23.30M
84,Badla,2019,7.8,na,UA,"23,091",118 min,"Crime, Drama, Mystery            ",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,Antonio Aakeel,0
85,Raazi,2018,7.8,na,UA,"25,888",138 min,"Action, Drama, Thriller            ",Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,0
86,Secret Superstar,2017,7.8,na,UA,"21,323",150 min,"Drama, Music            ",Advait Chandan,Zaira Wasim,Meher Vij,Raj Arjun,Aamir Khan,0
87,Hindi Medium,2017,7.8,na,U,"23,900",132 min,"Comedy, Drama            ",Saket Chaudhary,Irrfan Khan,Saba Qamar,Dishita Sehgal,Deepak Dobriyal,0
88,Udta Punjab,2016,7.8,na,A,"27,526",148 min,"Action, Crime, Drama            ",Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,0
89,M.S. Dhoni: The Untold Story,2016,7.8,na,U,"41,356",184 min,"Biography, Drama, Sport            ",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,$1.78M
90,Captain America: Civil War,2016,7.8,75,UA,"680,032",147 min,"Action, Adventure, Sci-Fi            ",Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,$408.08M
91,The Lunchbox,2013,7.8,76,U,"51,334",104 min,"Drama, Romance            ",Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,$4.23M
92,Vicky Donor,2012,7.8,na,UA,"40,073",126 min,"Comedy, Romance            ",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,$0.17M
93,English Vinglish,2012,7.8,na,U,"33,980",134 min,"Comedy, Drama, Family            ",Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,$1.67M
94,Johnny Gaddaar,2007,7.8,na,A,"11,655",135 min,"Crime, Drama, Mystery            ",Sriram Raghavan,Dharmendra,Rimi Sen,Ashwini Kalsekar,Neil Nitin Mukesh,0
95,Veer-Zaara,2004,7.8,67,U,"49,581",192 min,"Drama, Family, Musical            ",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,$2.92M
96,Gangaajal,2003,7.8,na,UA,"15,907",157 min,"Action, Crime, Drama            ",Prakash Jha,Ajay Devgn,Gracy Singh,Mohan Joshi,Yashpal Sharma,0
97,Nayak: The Real Hero,2001,7.8,na,U,"14,584",187 min,"Action, Drama, Thriller            ",S. Shankar,Anil Kapoor,Rani Mukerji,Amrish Puri,Johnny Lever,0
98,Kabhi Haan Kabhi Naa,1994,7.8,na,13,"17,358",158 min,"Comedy, Drama, Music            ",Kundan Shah,Shah Rukh Khan,Suchitra Krishnamoorthi,Deepak Tijori,Rita Bhaduri,0
99,Darr,1993,7.8,na,UA,"22,352",178 min,"Action, Drama, Romance            ",Yash Chopra,Juhi Chawla,Sunny Deol,Shah Rukh Khan,Anupam Kher,0
100,Mr. India,1987,7.8,na,U,"14,262",179 min,"Action, Comedy, Drama            ",Shekhar Kapur,Anil Kapoor,Sridevi,Amrish Puri,Satish Kaushik,0
101,Don,1978,7.8,na,U,"11,421",175 min,"Action, Crime, Thriller            ",Chandra Barot,Amitabh Bachchan,Zeenat Aman,Pran,Iftekhar,0
102,Newton,2017,7.7,na,UA,"17,150",106 min,"Comedy, Drama            ",Amit Masurkar,Rajkummar Rao,Pankaj Tripathi,Anjali Patil,Raghuvir Yadav,0
103,Sanju,2018,7.7,na,UA,"48,194",155 min,"Biography, Comedy, Drama            ",Rajkumar Hirani,Ranbir Kapoor,Paresh Rawal,Manisha Koirala,Vicky Kaushal,$7.91M
104,Neerja,2016,7.7,na,U,"21,185",122 min,"Biography, Drama, Thriller            ",Ram Madhvani,Sonam Kapoor,Shabana Azmi,Yogendra Tiku,Abrar Zahoor,$1.54M
105,Kapoor & Sons,2016,7.7,na,UA,"23,667",132 min,"Comedy, Drama, Family            ",Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah,Fawad Khan,$2.61M
106,Madras Cafe,2013,7.7,na,UA,"23,069",130 min,"Action, Drama, Thriller            ",Shoojit Sircar,Nargis Fakhri,John Abraham,Raashi Khanna,Gaurav Sharma,0
107,Kai po che!,2013,7.7,40,U,"33,120",130 min,"Drama, Sport            ",Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri,$1.12M
108,Pyaar Ka Punchnama,2011,7.7,na,UA,"20,115",149 min,"Comedy, Drama, Romance            ",Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma,Nushrat Bharucha,0
109,Rockstar,2011,7.7,na,UA,"40,053",159 min,"Drama, Music, Romance            ",Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra,$0.99M
110,Oye Lucky! Lucky Oye!,2008,7.7,na,UA,"16,479",125 min,"Action, Comedy, Crime            ",Dibakar Banerjee,Abhay Deol,Paresh Rawal,Neetu Chandra,Archana Puran Singh,$0.08M
111,Aamir,2008,7.7,na,A,"10,743",99 min,"Action, Crime, Drama            ",Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala,Chinkal,0
112,Rock On!!,2008,7.7,na,U,"21,004",145 min,"Drama, Music            ",Abhishek Kapoor,Arjun Rampal,Farhan Akhtar,Luke Kenny,Purab Kohli,0
113,Guru,2007,7.7,70,U,"22,210",162 min,Drama            ,Mani Ratnam,Mithun Chakraborty,Abhishek Bachchan,Aishwarya Rai Bachchan,Madhavan,$2.09M
114,Efter brylluppet,2006,7.7,78,R,"32,613",120 min,Drama            ,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Neeral Mulchandani,$0.41M
115,Water,I) (,7.7,77,(Banned),"14,401",117 min,Drama            ,Deepa Mehta,Lisa Ray,John Abraham,Seema Biswas,Sarala Kariyawasam,$3.22M
116,Baazigar,1993,7.7,na,UA,"26,186",175 min,"Crime, Drama, Musical            ",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Kajol,Dalip Tahil,0
117,The Day the Earth Stood Still,1951,7.7,na,U,"76,720",92 min,"Drama, Sci-Fi            ",Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,0
118,Tanhaji: The Unsung Warrior,2020,7.6,na,UA,"21,663",135 min,"Action, Biography, Drama            ",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,Kajol,0
119,Stree,2018,7.6,na,UA,"28,947",128 min,"Comedy, Horror            ",Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi,Aparshakti Khurana,0
120,Shaadi Mein Zaroor Aana,2017,7.6,na,UA,"13,032",137 min,"Drama, Romance            ",Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina,Alka Amin,0
121,Ludo,2020,7.6,na,16,"30,113",149 min,"Action, Comedy, Crime            ",Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao,Fatima Sana Shaikh,0
122,Parmanu: The Story of Pokhran,2018,7.6,na,U,"21,326",129 min,"Action, Drama, History            ",Abhishek Sharma,John Abraham,Boman Irani,Diana Penty,Anuja Sathe,0
123,The Ghazi Attack,2017,7.6,na,UA,"12,135",116 min,"Action, Thriller, War            ",Sankalp Reddy,Rana Daggubati,Kay Kay Menon,Atul Kulkarni,Om Puri,0
124,Trapped,XVII,7.6,na,UA,"10,798",105 min,"Drama, Thriller            ",Vikramaditya Motwane,Rajkummar Rao,Geetanjali Thapa,Shiladitya Sen,Rahul Patel,0
125,Dear Zindagi,2016,7.6,na,UA,"36,502",151 min,"Drama, Romance            ",Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,Priyanka Moodley,$1.40M
126,Madaari,2016,7.6,na,UA,"13,451",133 min,"Adventure, Drama, Thriller            ",Nishikant Kamat,Irrfan Khan,Jimmy Sheirgill,Vishesh Bansal,Tushar Dalvi,0
127,Hotel Mumbai,2018,7.6,62,A,"55,157",123 min,"Action, Drama, History            ",Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,Anupam Kher,$9.65M
128,Saala Khadoos,2016,7.6,na,UA,"11,475",109 min,"Action, Drama, Sport            ",Sudha Kongara,Madhavan,Nassar,Radha Ravi,Kaali Venkat,$0.08M
129,Piku,2015,7.6,na,UA,"29,333",123 min,"Comedy, Drama            ",Shoojit Sircar,Deepika Padukone,Amitabh Bachchan,Irrfan Khan,Moushumi Chatterjee,0
130,Detective Byomkesh Bakshy!,2015,7.6,na,UA,"20,322",139 min,"Action, Crime, Drama            ",Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi,Divya Menon,$0.58M
131,Highway,I) (,7.6,40,UA,"26,792",133 min,"Crime, Drama, Romance            ",Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar,Pradeep Nagar,$0.53M
132,Raanjhanaa,2013,7.6,na,UA,"29,847",140 min,"Drama, Romance            ",Aanand L. Rai,Dhanush,Sonam Kapoor,Mohd. Zeeshan Ayyub,Swara Bhaskar,$0.88M
133,Tanu Weds Manu Returns,2015,7.6,na,UA,"26,500",128 min,"Comedy, Drama, Romance            ",Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Sheirgill,Deepak Dobriyal,0
134,Delhi Belly,2011,7.6,66,A,"27,916",103 min,"Action, Comedy, Crime            ",Abhinay Deo,Akshat Verma,Imran Khan,Vir Das,Kunaal Roy Kapur,$1.53M
135,Wake Up Sid,2009,7.6,na,U,"28,694",138 min,"Comedy, Drama, Romance            ",Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,Anupam Kher,$0.72M
136,Lootcase,2020,7.6,na,12+,"14,293",132 min,"Comedy, Crime            ",Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz,Ranvir Shorey,0
137,Bheja Fry,2007,7.6,na,UA,"11,304",95 min,"Comedy, Drama            ",Sagar Ballary,Vinay Pathak,Rajat Kapoor,Sarika,Milind Soman,0
138,Jodhaa Akbar,2008,7.6,69,UA,"30,287",213 min,"Action, Drama, History            ",Ashutosh Gowariker,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,Poonam Sinha,$3.44M
139,Sarkar,2005,7.6,na,UA,"15,845",124 min,"Action, Crime, Drama            ",Ram Gopal Varma,Amitabh Bachchan,Abhishek Bachchan,Kay Kay Menon,Supriya Pathak,0
140,Devdas,I) (,7.6,na,U,"38,898",185 min,"Drama, Musical, Romance            ",Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit,Jackie Shroff,$3.50M
141,Kuch Kuch Hota Hai,1998,7.6,na,U,"48,580",177 min,"Comedy, Drama, Musical            ",Karan Johar,Shah Rukh Khan,Kajol,Rani Mukerji,Sana Saeed,$2.10M
142,Dil Se..,1998,7.6,na,A,"27,017",144 min,"Drama, Romance            ",Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta,Raghuvir Yadav,0
143,Indiana Jones and the Temple of Doom,1984,7.6,57,(Banned),"454,181",118 min,"Action, Adventure            ",Steven Spielberg,Harrison Ford,Kate Capshaw,Ke Huy Quan,Amrish Puri,$179.87M
144,Close Encounters of the Third Kind,1977,7.6,90,U,"187,178",138 min,"Drama, Sci-Fi            ",Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,$132.09M
145,Karwaan,2018,7.5,na,UA,"13,540",114 min,"Adventure, Comedy, Drama            ",Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar,Amala Akkineni,$0.18M
146,October,II) ,7.5,na,U,"13,736",115 min,"Drama, Romance            ",Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao,Sahil Vedoliyaa,0
147,Bareilly Ki Barfi,2017,7.5,na,UA,"19,789",116 min,"Comedy, Romance            ",Ashwiny Iyer Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao,Pankaj Tripathi,0
148,Hichki,2018,7.5,na,U,"10,899",116 min,"Comedy, Drama            ",Siddharth Malhotra,Rani Mukerji,Rohit Saraf,Neeraj Kabi,Sachin Pilgaonkar,$0.33M
149,Dum Laga Ke Haisha,2015,7.5,na,UA,"18,304",110 min,"Comedy, Drama, Romance            ",Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra,Sheeba Chaddha,0
150,Jolly LLB,2013,7.5,na,UA,"18,057",135 min,"Comedy, Drama            ",Subhash Kapoor,Arshad Warsi,Amrita Rao,Boman Irani,Saurabh Shukla,0
151,Rocket Singh: Salesman of the Year,2009,7.5,na,UA,"19,097",150 min,"Comedy, Drama            ",Shimit Amin,Ranbir Kapoor,Prem Chopra,Mukesh S. Bhatt,D. Santosh,0
152,"Se, jie",2007,7.5,61,A,"37,864",157 min,"Drama, History, Romance            ",Ang Lee,Tony Chiu-Wai Leung,Tang Wei,Joan Chen,Leehom Wang,$4.60M
153,Sivaji,2007,7.5,na,U,"18,118",188 min,"Action, Drama, Thriller            ",S. Shankar,Rajinikanth,Shriya Saran,Suman,Vivek,0
154,Jaane Tu... Ya Jaane Na,2008,7.5,na,U,"25,596",155 min,"Comedy, Drama, Romance            ",Abbas Tyrewala,Imran Khan,Genelia D'Souza,Manjari Fadnnis,Ayaz Khan,$0.60M
155,Hungama,2003,7.5,na,U,"13,435",153 min,"Comedy, Drama, Romance            ",Priyadarshan,Akshaye Khanna,Aftab Shivdasani,Rimi Sen,Paresh Rawal,0
156,Hum Dil De Chuke Sanam,1999,7.5,na,UA,"17,050",177 min,"Comedy, Drama, Musical            ",Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Salman Khan,Ajay Devgn,Zohra Sehgal,0
157,Hum Aapke Hain Koun...!,1994,7.5,na,U,"18,972",206 min,"Comedy, Drama, Musical            ",Sooraj R. Barjatya,Madhuri Dixit,Salman Khan,Mohnish Bahl,Renuka Shahane,0
158,Qayamat Se Qayamat Tak,1988,7.5,na,U,"10,424",162 min,"Drama, Musical, Romance            ",Mansoor Khan,Aamir Khan,Juhi Chawla,Goga Kapoor,Dalip Tahil,0
159,Raid,2018,7.4,na,UA,"15,542",122 min,"Action, Crime, Drama            ",Raj Kumar Gupta,Ajay Devgn,Ileana D'Cruz,Amit Bimrot,Saurabh Shukla,$1.01M
160,Tenet,2020,7.4,69,UA,"333,884",150 min,"Action, Sci-Fi, Thriller            ",Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Juhan Ulfsak,$58.46M
161,Kesari,2019,7.4,na,UA,"15,014",150 min,"Action, Drama, History            ",Anurag Singh,Akshay Kumar,Parineeti Chopra,Suvinder Vicky,Vansh Bhardwaj,0
162,Raman Raghav 2.0,2016,7.4,na,A,"13,175",133 min,"Crime, Drama, Thriller            ",Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala,Mukesh Chhabra,0
163,Sanam Teri Kasam,2016,7.4,na,U,"10,216",154 min,"Drama, Musical, Romance            ",Radhika Rao,Vinay Sapru,Harshvardhan Rane,Mawra Hocane,Vijay Raaz,$0.02M
164,Badlapur,2015,7.4,na,A,"22,025",134 min,"Action, Crime, Drama            ",Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,Huma Qureshi,$0.37M
165,The Jungle Book,2016,7.4,77,UA,"261,256",106 min,"Adventure, Drama, Family            ",Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,$364.00M
166,I Origins,2014,7.4,57,R,"117,362",106 min,"Drama, Mystery, Romance            ",Mike Cahill,Michael Pitt,Steven Yeun,Astrid Bergès-Frisbey,Brit Marling,$0.33M
167,Peepli [Live],2010,7.4,69,A,"11,881",95 min,"Comedy, Drama            ",Anusha Rizvi,Mahmood Farooqui,Omkar Das Manikpuri,Raghuvir Yadav,Shalini Vatsa,$0.75M
168,Guzaarish,2010,7.4,na,UA,"17,428",126 min,"Drama, Romance            ",Sanjay Leela Bhansali,Hrithik Roshan,Aishwarya Rai Bachchan,Shernaz Patel,Aditya Roy Kapoor,$1.02M
169,Once Upon a Time in Mumbaai,2010,7.4,na,UA,"16,492",134 min,"Action, Crime, Drama            ",Milan Luthria,Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,0
170,Kaminey,2009,7.4,na,A,"16,539",130 min,"Action, Crime, Drama            ",Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra,Deb Mukherjee,Shivkumar Subramaniam,$1.29M
171,Life in a Metro,2007,7.4,na,A,"11,203",132 min,"Comedy, Drama, Romance            ",Anurag Basu,Dharmendra,Irrfan Khan,Konkona Sen Sharma,Kay Kay Menon,$0.15M
172,Golmaal: Fun Unlimited,2006,7.4,na,UA,"15,264",150 min,"Action, Comedy, Drama            ",Rohit Shetty,Ajay Devgn,Arshad Warsi,Sharman Joshi,Tusshar Kapoor,0
173,Khakee,2004,7.4,na,UA,"15,065",174 min,"Action, Crime, Drama            ",Rajkumar Santoshi,Amitabh Bachchan,Akshay Kumar,Ajay Devgn,Aishwarya Rai Bachchan,0
174,Baghban,2003,7.4,na,NA ,"15,262",181 min,"Drama, Romance            ",Ravi Chopra,Amitabh Bachchan,Hema Malini,Salman Khan,Mahima Chaudhry,$1.10M
175,Aankhen,2002,7.4,na,U,"12,442",165 min,"Crime, Drama, Thriller            ",Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen,Arjun Rampal,0
176,Kabhi Khushi Kabhie Gham...,2001,7.4,na,U,"45,523",210 min,"Drama, Musical, Romance            ",Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan,Hrithik Roshan,$2.90M
177,Chachi 420,1997,7.4,na,U,"12,522",155 min,"Comedy, Drama, Family            ",Kamal Haasan,Kamal Haasan,Amrish Puri,Om Puri,Tabu,0
178,Bala,2019,7.3,na,UA,"11,936",133 min,Comedy            ,Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam,Saurabh Shukla,0
179,Angrezi Medium,2020,7.3,na,UA,"11,122",145 min,"Comedy, Drama            ",Homi Adajania,Irrfan Khan,Radhika Madan,Kareena Kapoor,Deepak Dobriyal,0
180,Gold,I) (,7.3,na,UA,"11,609",151 min,"Drama, History, Sport            ",Reema Kagti,Akshay Kumar,Mouni Roy,Kunal Kapoor,Amit Sadh,0
181,Te3n,2016,7.3,na,UA,"11,875",136 min,"Drama, Mystery, Thriller            ",Ribhu Dasgupta,Amitabh Bachchan,Nawazuddin Siddiqui,Vidya Balan,Mukesh Chhabra,$0.26M
182,Pyaar Ka Punchnama 2,2015,7.3,na,A,"14,103",137 min,"Comedy, Drama, Romance            ",Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar,Nushrat Bharucha,$0.22M
183,Bajirao Mastani,2015,7.3,na,U,"31,712",158 min,"Action, Drama, History            ",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra,Tanvi Azmi,$6.56M
184,Mardaani,2014,7.3,na,A,"11,767",113 min,"Action, Crime, Drama            ",Pradeep Sarkar,Rani Mukerji,Tahir Raj Bhasin,Priyanka Sharma,Habib Al Aidroos,0
185,Tamasha,2015,7.3,na,UA,"24,045",139 min,"Comedy, Drama, Romance            ",Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Piyush Mishra,Sushma Seth,$1.98M
186,The Hundred-Foot Journey,2014,7.3,55,PG,"77,832",122 min,"Comedy, Drama            ",Lasse Hallström,Helen Mirren,Om Puri,Manish Dayal,Charlotte Le Bon,$54.24M
187,Lootera,I) (,7.3,na,UA,"14,766",136 min,"Drama, Romance            ",Vikramaditya Motwane,Ranveer Singh,Sonakshi Sinha,Barun Chanda,Adil Hussain,$0.38M
