,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
77,Fate/Zero,2011–2012,8.3,16,"10,523",24,"Animation, Action, Drama            ",Ayako Kawasumi,Kari Wahlgren,Sayaka Ôhara,Jôji Nakata
78,Rainbow: Nishakubou no shichinin,2010–    ,8.3,NA,"1,889",30,"Animation, Crime, Drama            ",Shun Oguri,Romi Pak,Takaya Kuroda,Tatsuya Hasome
79,Yu-Gi-Oh! The Abridged Series,2006–    ,8.3,NA,"1,552",25,"Animation, Comedy            ",Martin Billany,Curtis Arnott,Chris Niosi,Anthony Sardinha
80,One Outs,2008–2009,8.3,NA,"1,331",25,"Animation, Drama, Sport            ",Masato Hagiwara,Tsutomu Isobe,Kenji Utsumi,Kappei Yamaguchi
81,Baccano!,2007–2008,8.3,NA,"10,620",30,"Animation, Action, Adventure            ",Michael C. Pizzuto,J. Michael Tatum,Caitlin Glass,Akemi Kanda
82,Wonder Egg Priority,2021–    ,8.3,NA,"1,156",23,"Animation, Action, Drama            ",Kanata Aikawa,Yûya Uchida,Hiroki Takahashi,Brendan Blaber
83,Horimiya,I    (2021–,8.3,NA,"1,945",24,"Animation, Comedy, Drama            ",Haruka Tomatsu,Koki Uchiyama,Seiichiro Yamashita,Yurie Kozakai
84,Gyakkyô burai Kaiji,2007–2011,8.3,NA,"2,227",23,"Animation, Action, Thriller            ",Masato Hagiwara,Hakuryû,Naoya Uchida,Hideo Ishikawa
85,Seirei no moribito,2007–    ,8.3,NA,"2,463",25,"Animation, Action, Adventure            ",Mabuki Andô,Naoto Adachi,Kôji Tsujitani,Hirofumi Nojima
86,Tengen toppa gurren lagann,2007–2008,8.3,NA,"15,002",24,"Animation, Action, Adventure            ",Yuri Lowenthal,Kana Asumi,Steve Blum,Johnny Yong Bosch
87,N.H.K ni yôkoso!,2006,8.3,NA,"5,803",25,"Animation, Comedy, Drama            ",Yutaka Koizumi,Yui Makino,Michael C. Pizzuto,Greg Ayres
88,Seinto Seiya: Meiou Hades Meikai Hen,2005–    ,8.3,NA,"1,288",25,"Animation, Action, Adventure            ",Fumiko Orikasa,Takahiro Sakurai,Masakazu Morita,Yûta Kasuya
89,Beck: Mongolian Chop Squad,2004–2005,8.3,NA,"2,129",25,"Animation, Drama, Music            ",Tomohisa Asô,Greg Ayres,Taliesin Jaffe,Jamie McGonnigal
90,Hikaru no go,2001–2003,8.3,NA,"1,096",23,"Animation, Fantasy, Sport            ",Tomoko Kawakami,Susumu Chiba,Sanae Kobayashi,Yumi Kakazu
91,Naruto,2002–2007,8.3,16,"73,687",24,"Animation, Action, Adventure            ",Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura
92,Trigun,1998,8.3,NA,"19,525",24,"Animation, Action, Adventure            ",Masaya Onosaka,Hiromi Tsuru,Satsuki Yukino,Johnny Yong Bosch
93,Yu-Gi-Oh!,II    (2000,8.3,U,"2,495",23,"Animation, Action, Adventure            ",Dan Green,Amy Birnbaum,Wayne Grayson,Eric Stuart
94,Tanoshî Mûmin ikka,1990–1991,8.3,NA,"3,739",23,"Animation, Adventure, Comedy            ",John Chancer,Toni Barry,David Graham,Stacey Gregg
95,UFO robo: Gurendaizâ,1975–1977,8.3,NA,"1,912",26,"Animation, Action, Romance            ",Hiroya Ishimaru,Chiyoko Kawashima,Ken'ichi Ogata,Kei Tomiyama
96,Hokuto no Ken,1984–1988,8.3,NA,"2,717",25,"Animation, Action, Adventure            ",Akira Kamiya,Shigeru Chiba,Teiyû Ichiryûsai,Tomiko Suzuki
