,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
194,Uchû kaizoku kyaputen Hârokku,1978–1979,7.9,NA,"1,038",24,"Animation, Action, Adventure            ",Makio Inoue,Akira Kamiya,Ken'ichi Ogata,Chiyoko Kawashima
195,Rupan sansei,1971–1972,7.9,NA,"1,874",23,"Animation, Action, Adventure            ",Yasuo Yamada,Kiyoshi Kobayashi,Yukiko Nikaido,Gorô Naya
196,Captain Future,1978–1979,7.9,NA,"1,218",30,"Animation, Adventure, Sci-Fi            ",Taichirô Hirokawa,Eiko Masuyama,Kei'ichi Noda,Ken'ichi Ogata
197,Ranma ½,1989,7.9,U,"4,680",30,"Animation, Action, Comedy            ",Kappei Yamaguchi,Megumi Hayashibara,Noriko Hidaka,Sarah Strange
198,Doraemon,1979–2005,7.9,U,"3,115",25,"Animation, Adventure, Comedy            ",Nobuyo Ôyama,Noriko Ohara,Michiko Nomura,Kazuya Tatekabe
199,Grand Blue,2018–    ,7.8,16,"1,473",24,"Animation, Adventure, Comedy            ",Yuma Uchida,Ryohei Kimura,Hiroki Yasumoto,Katsuyuki Konishi
200,Mahô Tsukai no Yome,2017–    ,7.8,NA,"2,105",25,"Animation, Drama, Fantasy            ",Atsumi Tanezaki,Dani Chambers,Josh Grelle,Todd Haberkorn
201,Kono subarashii sekai ni shukufuku o!,2016–2017,7.8,16,"6,663",24,"Animation, Adventure, Comedy            ",Jun Fukushima,Sora Amamiya,Rie Takahashi,Ai Kayano
202,Overlord,2015–    ,7.8,18,"6,244",30,"Animation, Action, Adventure            ",Satoshi Hino,Chris Guerrero,Elizabeth Maxwell,Yumi Hara
203,Durarara!!x2,2015–2016,7.8,NA,"1,614",24,"Animation, Comedy, Crime            ",Darrel Guilbeau,Kyle McCarley,Hiroshi Kamiya,Kana Hanazawa
204,Ore Monogatari!!,2015,7.8,NA,"1,254",24,"Animation, Comedy, Romance            ",Takuya Eguchi,Megumi Han,Nobunaga Shimazaki,Tia Lynn Ballard
205,Akagami no Shirayuki-hime,2015–2016,7.8,NA,"2,047",24,"Animation, Drama, Fantasy            ",Saori Hayami,Ryôta Ôsaka,Yuichiro Umehara,Kaori Nazuka
206,Tokyo Ghoul,2014,7.8,18,"38,374",24,"Animation, Action, Drama            ",Natsuki Hanae,Austin Tindle,Sora Amamiya,Brina Palencia
207,Magi: The Labyrinth of Magic,2012–2014,7.8,NA,"3,192",25,"Animation, Action, Adventure            ",Kaori Ishihara,Yûki Kaji,Haruka Tomatsu,Erik Scott Kimerer
208,Hyouka,2012,7.8,NA,"3,399",24,"Animation, Comedy, Drama            ",Yûichi Nakamura,Satomi Sato,Felecia Angelle,Tia Lynn Ballard
209,Sakurasou no Pet na Kanojo,2012–2013,7.8,NA,"3,250",24,"Animation, Comedy, Drama            ",Yoshitsugu Matsuoka,Ai Kayano,Mariko Nakatsu,Natsumi Takamori
210,Black Lagoon: Roberta's Blood Trail,2010–2011,7.8,NA,"2,518",34,"Animation, Action, Drama            ",Megumi Toyoguchi,Daisuke Namikawa,Michie Tomizawa,Kazue Ikura
211,Kuroshitsuji,2008–2010,7.8,NA,"6,810",24,"Animation, Action, Comedy            ",Michael C. Pizzuto,J. Michael Tatum,Brina Palencia,Daisuke Ono
212,Shigurui,2007–    ,7.8,NA,"2,105",24,"Animation, Action, Drama            ",Daisuke Namikawa,Emi Shinohara,Seizô Katô,John Burgmeier
213,Katei Kyoshi Hitman Reborn!,2006–    ,7.8,NA,"1,266",25,"Animation, Action, Comedy            ",Hidenobu Kiuchi,Hidekazu Ichinose,Yukari Kokubun,Neeko
214,Sôru îtâ,2008–2009,7.8,NA,"11,284",24,"Animation, Action, Adventure            ",Laura Bailey,Chiaki Omigawa,Micah Solusod,Brittney Karbowski
215,Beastars,2019–    ,7.8,UA,"6,271",23,"Animation, Crime, Drama            ",Chikahiro Kobayashi,Yuki Ono,Sayaka Senbongi,Fukushi Ochiai
216,Darker Than Black: Kuro no keiyakusha,2007–2010,7.8,NA,"11,089",24,"Animation, Action, Drama            ",Jason Liebrecht,Kate Oxley,Christopher Sabat,Brina Palencia
217,School Rumble,2004–2010,7.8,NA,"1,895",25,"Animation, Comedy, Romance            ",Luci Christian,Brandon Potter,Brina Palencia,Caitlin Glass
218,Suzumiya Haruhi no yûutsu,2006–2009,7.8,13,"7,624",24,"Animation, Comedy, Fantasy            ",Tomokazu Sugita,Aya Hirano,Minori Chihara,Yûko Gotô
219,Paradise Kiss,2005–    ,7.8,NA,"1,440",23,"Animation, Comedy, Drama            ",Johnny Yong Bosch,Sam Carr,Mari Devon,Dorothy Elias-Fahn
220,Last Exile,2003,7.8,NA,"3,445",25,"Animation, Action, Adventure            ",Mayumi Asano,Chiwa Saitô,Paul St. Peter,Yukana
221,Arabian naitsu: Shinbaddo no bôken,1975–    ,7.8,NA,"1,299",24,"Animation, Adventure, Fantasy            ",Gernot Duda,Frank Engelhardt,Norbert Gastell,Inez Günther
222,Majingâ Zetto,1972–1974,7.8,NA,"1,180",30,"Action, Animation, Sci-Fi            ",Hiroya Ishimaru,Osamu Katô,Haruko Kitahama,Minori Matsushima
223,Shôkôjo Sêra,1985–1993,7.8,NA,"1,170",24,"Animation, Drama            ",Sumi Shimamoto,Taeko Nakanishi,Eiko Yamada,Teiyû Ichiryûsai
224,City Hunter,1987–1991,7.8,NA,"1,193",24,"Animation, Action, Comedy            ",Akira Kamiya,Kazue Ikura,Yôko Asagami,Tesshô Genda
225,Tenkû no Esukafurône,1996,7.8,NA,"3,914",30,"Animation, Action, Adventure            ",Kirby Morrow,Kelly Sheridan,Brian Drummond,Jocelyne Loewen
226,Fushigi no umi no Nadia,1990–1991,7.8,NA,"1,581",25,"Animation, Adventure, Drama            ",Bob Bergen,Noriko Hidaka,Carl Domaski,Judson Jones
227,Akage no An,1979,7.8,NA,"1,531",24,"Animation, Drama, Family            ",Eiko Yamada,Fumie Kitahara,Michio Hazama,Ryûji Saikachi
228,Fire Force,2019–    ,7.7,NA,"3,851",23,"Animation, Action, Drama            ",Gakuto Kajiwara,Kazuya Nakai,Christopher Wehkamp,Yûsuke Kobayashi
229,Yojo Senki: Saga of Tanya the Evil,2017–    ,7.7,NA,"2,205",24,"Animation, Action, Adventure            ",Amber Lee Connors,Monica Rial,Aoi Yûki,Joe Cucinotti
230,Kobayashi-san Chi No Maid Dragon,2017,7.7,NA,"2,668",24,"Animation, Comedy, Fantasy            ",Mutsumi Tamura,Yuuki Kuwahara,Maria Naganawa,Kerstin Julia Dietrich
231,Bungou Stray Dogs,2016–    ,7.7,16,"3,083",24,"Animation, Action, Comedy            ",Mamoru Miyano,Yûto Uemura,Kaiji Tang,Yoshimasa Hosoya
232,Log Horizon,2013–    ,7.7,NA,"3,515",25,"Animation, Action, Adventure            ",Jad Saxton,Mike Yager,Jôji Nakata,Andrew Love
233,Hataraku Maou-sama!,2013–    ,7.7,NA,"4,934",24,"Animation, Action, Comedy            ",Ryôta Ôsaka,Yôko Hikasa,Nao Tôyama,Yuki Ono
234,Shiki,2010–2011,7.7,NA,"2,887",24,"Animation, Drama, Horror            ",Tôru Ohkawa,Koki Uchiyama,Kazuyuki Okitsu,Wataru Takagi
235,Angel Beats!,2010,7.7,U,"12,101",25,"Animation, Action, Comedy            ",Hiroshi Kamiya,Harumi Sakurai,Kana Hanazawa,Ryohei Kimura
236,K-On!,2009–2010,7.7,NA,"3,010",24,"Animation, Comedy, Drama            ",Aki Toyosaki,Yôko Hikasa,Satomi Sato,Minako Kotobuki
237,Phantom: Requiem for the Phantom,2009–    ,7.7,NA,"1,499",25,"Animation, Action, Crime            ",Miyu Irino,Newton Pittman,Ayahi Takagaki,Lindsay Seidel
238,D.Gray-man,2006–2008,7.7,NA,"3,870",30,"Animation, Action, Adventure            ",Sanae Kobayashi,Todd Haberkorn,Shizuka Itô,Kenichi Suzumura
239,XXXHOLiC,2005–    ,7.7,NA,"1,669",15,"Animation, Comedy, Drama            ",Sayaka Ôhara,Jun Fukuyama,Kazuya Nakai,Shizuka Itô
240,Tekunoraizu,2003,7.7,NA,"2,390",15,"Animation, Drama, Sci-Fi            ",Michael Forest,Justin Gross,Satoshi Haga,Shizuka Itô
241,Kidô senshi Gundam Seed,2002–2003,7.7,NA,"2,239",50,"Animation, Action, Drama            ",Sôichirô Hoshi,Ted Cole,Brian Dobson,Adam Henderson
242,Full Metal Panic!,2002–    ,7.7,NA,"5,198",24,"Animation, Action, Adventure            ",Tomokazu Seki,Satsuki Yukino,Jason Douglas,Yukana
243,Captain Tsubasa J,1994–1995,7.7,NA,"1,303",24,"Animation, Drama, Romance            ",Nobuyuki Hiyama,Akira Ishida,Junko Iwao,Megumi Ogata
244,Dejimon Teimâzu,2001–2002,7.7,NA,"1,840",25,"Animation, Action, Adventure            ",Masako Nozawa,Yuka Imai,Makoto Tsumura,Mayumi Yamaguchi
245,Kareshi kanojo no jijou,1998–1999,7.7,NA,"1,355",24,"Animation, Comedy, Drama            ",Atsuko Enomoto,Megan Hollingshead,Christopher Nicholas,Dick Rodstein
246,Bishôjo senshi Sêrâ Mûn,1992–1997,7.7,All,"5,504",30,"Animation, Action, Adventure            ",Stephanie Sheh,Kotono Mitsuishi,Kate Higgins,Aya Hisakawa
247,Rôdosu-tô senki,1990–    ,7.7,NA,"2,375",25,"Animation, Action, Adventure            ",Takeshi Kusao,Yumi Tôma,Kappei Yamaguchi,Hideyuki Tanaka
248,Hataraku Saibou,2018–    ,7.6,NA,"1,652",24,"Animation, Action, Comedy            ",Karen Strassman,Mamiko Noto,Morgan Berry,Griffin Burns
249,Wotaku ni Koi wa Muzukashii,2018–2021,7.6,NA,"1,777",23,"Animation, Comedy, Romance            ",Arisa Date,Kent Ito,Miyuki Sawashiro,Tomokazu Sugita
250,Ajin,2016–    ,7.6,16,"5,394",24,"Animation, Action, Adventure            ",Mamoru Miyano,Martin Billany,Johnny Yong Bosch,Lucien Dodge
251,Kangoku gakuen,2015–    ,7.6,NA,"4,130",24,"Animation, Comedy            ",Hiroshi Kamiya,Katsuyuki Konishi,Kenichi Suzumura,Daisuke Namikawa
252,Gôruden taimu,2013–    ,7.6,NA,"2,335",24,"Animation, Comedy, Drama            ",Yui Horie,Makoto Furukawa,Mike Haimoto,Ai Kayano
253,Sword Art Online,2012–    ,7.6,18,"37,602",24,"Animation, Action, Adventure            ",Yoshitsugu Matsuoka,Haruka Tomatsu,Bryce Papenbrook,Cherami Leigh
254,High School DxD,2012–2018,7.6,18,"7,283",23,"Animation, Action, Comedy            ",Yûki Kaji,Yôko Hikasa,Azumi Asakura,Shizuka Itô
255,Anazâ,2012,7.6,18,"11,623",25,"Animation, Drama, Horror            ",Atsushi Abe,Natsumi Takamori,Tomoaki Maeno,Greg Ayres
256,Mirai nikki,2011–2013,7.6,NA,"14,691",25,"Animation, Action, Drama            ",Josh Grelle,Brina Palencia,Leah Clark,Emily Neves
257,Beelzebub,2011–    ,7.6,NA,"1,707",15,"Animation, Action, Comedy            ",Shizuka Itô,Katsuyuki Konishi,Takahiro Mizushima,Miyuki Sawashiro
258,Panti & Sutokkingu with Gâtâberuto,2010,7.6,NA,"1,576",23,"Animation, Action, Comedy            ",Jamie Marchi,Arisa Ogasawara,Mariya Ise,Kôji Ishii
259,Higashi no Eden,2009,7.6,NA,"3,448",23,"Animation, Action, Comedy            ",Ryohei Kimura,Saori Hayami,Leah Clark,Jason Liebrecht
260,Ghost Hunt,2006–    ,7.6,NA,"1,296",25,"Animation, Comedy, Drama            ",Colleen Clinkenbeard,Todd Haberkorn,Cherami Leigh,Travis Willingham
261,Baki the Grappler,2001–2007,7.6,NA,"1,121",24,"Animation, Action, Drama            ",Bob Carter,Masami Kikuchi,Robert McCollum,Naomi Kusumi
262,Kanon,2006–2007,7.6,NA,"1,439",22,"Animation, Comedy, Drama            ",Chris Patton,Tomokazu Sugita,Mariko Kouda,Jessica Boone
263,Blood+,2005–2006,7.6,NA,"4,308",25,"Animation, Action, Adventure            ",Eri Kitamura,Katsuyuki Konishi,Hiroyuki Yoshino,Akiko Yajima
264,Samurai 7,2004,7.6,NA,"3,818",25,"Animation, Action, Adventure            ",R. Bruce Elliott,Christopher Sabat,Sean Teague,Colleen Clinkenbeard
265,Ekkusu,2001–2002,7.6,NA,"1,456",24,"Animation, Action, Drama            ",Kenichi Suzumura,Jun'ichi Suwabe,Ryôka Yuzuki,Crispin Freeman
266,Nirusu no fushigi na tabi,1980–1981,7.6,NA,"2,510",24,"Animation, Adventure, Family            ",Helga Anders,Erich Ludwig,Alexandra Mink,Eberhard Mondry
267,Janguru Bukku shônen Môguri,1989–2020,7.6,NA,"1,153",24,"Animation, Adventure, Drama            ",Urara Takano,Banjô Ginga,Julian Bailey,Thor Bishopric
268,The Big O,1999–2003,7.6,NA,"1,896",25,"Animation, Adventure, Sci-Fi            ",Mitsuru Miyamoto,Steve Blum,Akiko Yajima,Motomu Kiyokawa
269,Street Fighter II: V,1995–1998,7.6,NA,"2,090",22,"Animation, Action, Adventure            ",Tesshô Genda,Skip Stellrecht,Kirk Thornton,Randy McPherson
270,Sailor Moon,1995–2000,7.6,NA,"11,790",24,"Animation, Action, Adventure            ",Susan Roman,Jill Frappier,Katie Griffin,Ron Rubin
271,Tenchi Muyô!,1992–    ,7.6,NA,"1,936",30,"Animation, Adventure, Comedy            ",Flavia Fontenelle,Matt K. Miller,Sherry Lynn,K.T. Vogt
272,Goblin Slayer,2018–    ,7.5,16,"5,070",30,"Animation, Action, Adventure            ",Yuichiro Umehara,Yui Ogura,Hayden Daviau,Brad Hawkins
273,Hai to gensô no Grimgar,2016,7.5,NA,"2,094",24,"Animation, Adventure, Drama            ",Ricco Fajardo,Jarrod Greene,Orion Pitts,Jeannie Tirado
274,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",2015–    ,7.5,NA,"2,744",24,"Animation, Action, Adventure            ",Jun'ichi Suwabe,Nao Tôyama,Hisako Kanemoto,Risa Taneda
275,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2015–    ,7.5,NA,"5,661",24,"Animation, Action, Adventure            ",Bryson Baugus,Luci Christian,Hilary Haag,Yoshitsugu Matsuoka
276,Owari no serafu,2015,7.5,18,"3,706",24,"Animation, Action, Adventure            ",Miyu Irino,Micah Solusod,Saori Hayami,Nobuhiko Okamoto
277,Charlotte,2015–2016,7.5,NA,"4,525",24,"Animation, Drama, Family            ",Koki Uchiyama,Ayane Sakura,Momo Asakura,Takahiro Mizushima
278,Jormungand,2012–    ,7.5,NA,"1,018",24,"Animation, Action, Crime            ",Shizuka Itô,Mutsumi Tamura,Wataru Hatano,Hitoshi Yanai
279,Kokoro Connect,2012,7.5,NA,"1,794",15,"Animation, Comedy, Drama            ",Takahiro Mizushima,Aki Toyosaki,Miyuki Sawashiro,Hisako Kanemoto
280,Ao no ekusoshisuto,2011–2012,7.5,NA,"11,241",30,"Animation, Action, Drama            ",Nobuhiko Okamoto,Bryce Papenbrook,Jun Fukuyama,Johnny Yong Bosch
281,Ben 10: Ultimate Alien,2010–2012,7.5,All,"5,174",22,"Animation, Action, Adventure            ",Yuri Lowenthal,Ashley Johnson,Dee Bradley Baker,Greg Cipes
282,To aru kagaku no rêrugan,2009–    ,7.5,NA,"1,171",24,"Animation, Action, Comedy            ",Rina Satô,Satomi Arai,Aki Toyosaki,Kanae Itô
283,Itazura na Kiss,2008,7.5,NA,"1,366",24,"Animation, Comedy, Drama            ",Daisuke Hirakawa,Nana Mizuki,Naoko Matsui,Takashi Nagasako
284,Jigoku shôjo,2005–2006,7.5,NA,"1,575",15,"Animation, Drama, Fantasy            ",Mamiko Noto,Masaya Matsukaze,Takako Honda,Takayuki Sugô
285,Dejimon adobenchâ 02,2000–2001,7.5,NA,"1,463",30,"Animation, Action, Adventure            ",Tifanie Christun,Brian Donovan,Doug Erholtz,Lara Jill Miller
286,Heppoko jikken animêshon excel saga,1999–2001,7.5,NA,"1,285",15,"Animation, Comedy, Drama            ",Kotono Mitsuishi,Takehito Koyasu,Jason Douglas,Omi Minami
287,Poketto monsutâ,1997–    ,7.5,NA,"38,257",24,"Animation, Action, Adventure            ",Veronica Taylor,Rachael Lillis,Eric Stuart,Ikue Ôtani
288,Sureiyâzu,1995–2009,7.5,NA,"2,052",25,"Animation, Action, Adventure            ",Megumi Hayashibara,Yasunori Matsumoto,Lisa Ortiz,Eric Stuart
289,Meitantei Holmes,1984–1985,7.5,NA,"1,276",24,"Animation, Action, Adventure            ",Taichirô Hirokawa,Kôsei Tomita,Yôko Asagami,Patricia Parris
290,Arupusu no shôjo Haiji,1974,7.5,NA,"4,774",24,"Animation, Adventure, Drama            ",Randi Kiger,Vic Perrin,Kazuko Sugiyama,Kôhei Miyauchi
291,Go-Toubun no Hanayome,2019–    ,7.4,13,"1,937",24,"Animation, Comedy, Drama            ",Yoshitsugu Matsuoka,Kana Hanazawa,Ayana Taketatsu,Miku Itou
292,DARLING in the FRANXX,2018,7.4,Not Rated,"5,364",24,"Animation, Action, Drama            ",Yûto Uemura,Kana Ichinose,Nanami Yamashita,Saori Hayami
293,Ao no ekusoshisuto: Kyoto fujô ô-hen,2017,7.4,NA,"1,918",24,"Animation, Action, Drama            ",Nobuhiko Okamoto,Rina Satô,Yûki Kaji,Kazuya Nakai
294,Shingeki no Bahamut: Genesis,2014,7.4,NA,"1,274",24,"Animation, Action, Fantasy            ",Tia Lynn Ballard,Brian Mathis,Kyle Phillips,Chris Rager
295,Suisei no Gargantia,2013–    ,7.4,NA,"1,468",15,"Animation, Adventure, Drama            ",Fabien Albanese,Janice Kawaye,Alan Lee,Michelle Ruff
296,Chuunibyou demo koi ga shitai!,2012–    ,7.4,NA,"2,777",25,"Animation, Comedy, Drama            ",Jun Fukuyama,Maaya Uchida,Chinatsu Akasaki,Leraldo Anzaldua
297,Gosick,2011,7.4,NA,"1,053",24,"Animation, Comedy, Drama            ",Aoi Yûki,Takuya Eguchi,Matt Shipman,Apphia Yu
298,Hetalia: Axis Powers,2009–2016,7.4,NA,"1,216",25,"Animation, Comedy            ",Todd Haberkorn,Patrick Seitz,Eric Vale,Jamie Marchi
299,Sekirei,2008–2010,7.4,NA,"2,077",23,"Animation, Action, Comedy            ",Joel McDonald,Alexis Tipton,Tia Lynn Ballard,Leah Clark
300,Vanpaia naito,2008–    ,7.4,NA,"4,572",24,"Animation, Action, Drama            ",Yui Horie,Mamoru Miyano,Daisuke Kishio,Jun Fukuyama
301,Kaze no stigma,2007,7.4,NA,"1,402",24,"Animation, Action, Comedy            ",Josh Grelle,Kyle Hebert,Cherami Leigh,Robert McCollum
302,Shinchô yûsha ~ kono yûsha ga ore TUEEE kuse ni shinchô sugiru ~,2019–    ,7.4,18,"1,339",23,"Animation, Action, Adventure            ",Yuichiro Umehara,Aki Toyosaki,Anthony Bowling,Jamie Marchi
303,Aa Megamisama,2005,7.4,NA,"1,101",25,"Animation, Comedy, Drama            ",Kikuko Inoue,Masami Kikuchi,Yumi Tôma,Matt Caplan
304,Fate/stay night,2006,7.4,NA,"4,990",23,"Animation, Action, Adventure            ",Noriaki Sugiyama,Kate Higgins,Candice Moore,Liam O'Brien
305,Tsubasa kuronikuru,2005–2010,7.4,NA,"1,188",25,"Animation, Action, Adventure            ",Miyu Irino,Yui Makino,Daisuke Namikawa,Tetsu Inada
306,Gunslinger Girl,2003–2004,7.4,NA,"2,079",25,"Animation, Action, Drama            ",Yuka Nanri,Hidenobu Kiuchi,Laura Bailey,John Burgmeier
307,Ganbare! Kikkâzu,1986–    ,7.4,NA,"1,012",24,"Animation, Comedy, Drama            ",Yûko Kobayashi,Tarako,Michie Tomizawa,Ikue Ôtani
308,Gyangusuta,2015,7.3,NA,"2,138",24,"Animation, Action, Drama            ",Mamiko Noto,Felecia Angelle,Jun'ichi Suwabe,Kenjirô Tsuda
309,Kekkai Sensen,2015–2017,7.3,NA,"1,667",24,"Animation, Action, Adventure            ",Daisuke Sakaguchi,Kazuya Nakai,Aaron Dismuke,Phil Parsons
310,Kyoukai no kanata,2013–    ,7.3,NA,"1,803",24,"Animation, Action, Comedy            ",Kenichiro Ohashi,Risa Taneda,Minori Chihara,Clint Bickham
311,Sora no otoshimono,2009–2010,7.3,NA,"1,674",25,"Animation, Action, Comedy            ",Jamie Marchi,Brittney Karbowski,Saori Hayami,Terri Doty
312,Mao Gakuin no Futekigosha,2020–2022,7.3,NA,"1,268",23,"Animation, Adventure, Comedy            ",Tatsuhisa Suzuki,Tomori Kusunoki,Aleks Le,Yuko Natsuyoshi
313,BNA,2020,7.3,NA,"1,634",23,"Animation, Action, Fantasy            ",Sumire Morohoshi,Yoshimasa Hosoya,Gara Takashima,Ben Diskin
314,"Kanojo, Okarishimasu",2020–    ,7.3,NA,"2,112",23,"Animation, Comedy, Romance            ",Landon McDonald,Sora Amamiya,Shun Horie,Lizzie Freeman
315,Raki suta: Lucky Star,2007–2008,7.3,NA,"1,988",25,"Animation, Adventure, Comedy            ",Aya Hirano,Emiri Kato,Kaori Fukuhara,Aya Endô
316,Sunabôzu,2004–2005,7.3,NA,"1,233",25,"Animation, Action, Comedy            ",Cole Brown,Eric Vale,Chihiro Suzuki,Luci Christian
317,Witch Hunter Robin,2002–2003,7.3,NA,"1,914",25,"Animation, Action, Adventure            ",Akeno Watanabe,Steve Blum,Paul St. Peter,Karen Strassman
318,Buru Jenda,1999–2000,7.3,NA,"1,121",18,"Animation, Adventure, Drama            ",Tomohisa Asô,Laura Bailey,Houko Kuwashima,Kenji Nojima
319,Chobits,2002–2003,7.3,NA,"4,143",20,"Animation, Comedy, Drama            ",Rie Tanaka,Crispin Freeman,Tomokazu Sugita,Karen Strassman
320,Digimon: Digital Monsters,1999–2003,7.3,NA,"20,503",24,"Animation, Action, Adventure            ",Steve Blum,Mona Marshall,Tifanie Christun,Derek Stephen Prince
321,Pacific Rim,2021–    ,7.2,16,"2,538",30,"Animation, Action, Adventure            ",Gideon Adlon,Calum Worthy,Erica Lindbeck,Victoria Grace
322,Brotherhood: Final Fantasy XV,2016,7.2,NA,"1,227",15,"Animation, Action, Adventure            ",Tatsuhisa Suzuki,Kenta Miyake,Tetsuya Kakihara,Mamoru Miyano
323,Aldnoah.Zero,2014–    ,7.2,NA,"2,003",25,"Animation, Action, Adventure            ",Zach Aguilar,Sora Amamiya,Sandy Fox,Erika Harlacher
324,Nisekoi,2014,7.2,NA,"2,586",25,"Animation, Comedy, Romance            ",Koki Uchiyama,Nao Tôyama,Kana Hanazawa,Yumi Uchiyama
325,Accel World,2012–    ,7.2,NA,"1,867",24,"Animation, Action, Romance            ",Stephanie Sheh,Erik Scott Kimerer,Kira Buckland,Lucien Dodge
326,Deadman Wonderland,2011,7.2,16,"9,218",24,"Animation, Action, Drama            ",Greg Ayres,Kana Hanazawa,Romi Pak,Monica Rial
327,Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,2010,7.2,NA,"11,128",24,"Animation, Action, Drama            ",Jun'ichi Suwabe,Eri Kitamura,Nobuyuki Hiyama,Hitomi Harada
328,Ben 10: Alien Force,2008–2010,7.2,All,"7,242",22,"Animation, Action, Adventure            ",Yuri Lowenthal,Dee Bradley Baker,Ashley Johnson,Greg Cipes
329,Air Gear,2006–    ,7.2,NA,"1,168",25,"Animation, Action, Comedy            ",Kenta Kamakari,Mariya Ise,Chris Patton,Luci Christian
330,Air,2005,7.2,NA,"1,287",24,"Animation, Drama, Fantasy            ",Daisuke Ono,Tomoko Kawakami,Monica Rial,Aya Hisakawa
331,Ben 10,2005–2008,7.2,All,"13,785",22,"Animation, Action, Adventure            ",Tara Strong,Paul Eiding,Meagan Moore,Dee Bradley Baker
332,Gantz,2004,7.2,NA,"7,086",22,"Animation, Action, Comedy            ",Chris Ayres,Emily Carter-Essex,Shannon Emerick,John Gremillion
333,Chrono Crusade,2003–2004,7.2,NA,"1,444",30,"Animation, Action, Adventure            ",Tomoko Kawakami,Akira Ishida,Greg Ayres,Hilary Haag
334,RahXephon,2002,7.2,NA,"1,583",25,"Animation, Action, Drama            ",Chris Patton,Monica Rial,Tiffany Grant,Jason Douglas
335,Noir,2001–    ,7.2,NA,"1,830",25,"Animation, Action, Crime            ",Houko Kuwashima,Kotono Mitsuishi,Shelley Calene-Black,Monica Rial
336,Chîsana baikingu Bikke,1974–    ,7.2,NA,"1,859",23,"Animation, Adventure, Comedy            ",Wolf Ackva,Harald Baerow,Ivar Combrinck,Gustl Datz
337,Yu-Gi-Oh!,I    (2000–,7.2,NA,"18,857",24,"Animation, Action, Adventure            ",Dan Green,Wayne Grayson,Amy Birnbaum,Eric Stuart
338,Mahha GoGoGo,1967–1968,7.2,NA,"2,589",30,"Animation, Action, Adventure            ",Katsuji Mori,Peter Fernandez,Corinne Orr,Jack Grimes
339,Isekai Mao to Shokan Shojo no Dorei Majutsu,2018–    ,7.1,18,"1,919",24,"Animation, Adventure, Comedy            ",Masaaki Mizunaka,Yû Serizawa,Azumi Waki,Jad Saxton
340,Super Dragon Ball Heroes,2018–    ,7.1,NA,"1,701",10,"Animation, Action, Adventure            ",Ryô Horikawa,Takeshi Kusao,Masako Nozawa,Ryûsei Nakao
341,Kujira no kora wa sajô ni utau,2017,7.1,NA,"1,329",24,"Animation, Drama, Fantasy            ",Tony Azzolino,Brian Beacock,Johnny Yong Bosch,Reba Buhr
342,Sword Oratoria: Dungeon ni deai o motomeru no wa machigatteiru no darô ka? Gaiden,2017–    ,7.1,NA,"1,044",25,"Animation, Action, Adventure            ",Saori Oonishi,Juri Kimura,Shelley Calene-Black,Kelley Peters
343,Strike the Blood,2013–    ,7.1,NA,"1,354",24,"Animation, Action, Comedy            ",Yoshimasa Hosoya,Risa Taneda,Ikumi Hayama,Rina Hidaka
344,Boku wa tomodachi ga sukunai,2011–    ,7.1,NA,"1,845",25,"Animation, Comedy, Drama            ",Ryohei Kimura,Marina Inoue,Kanae Itô,Jerry Jewell
345,K,2012–    ,7.1,13,"1,963",24,"Animation, Action, Drama            ",Sam Riegel,Stephanie Sheh,Johnny Yong Bosch,Todd Haberkorn
346,Btooom!,2012,7.1,NA,"3,341",25,"Animation, Action, Drama            ",Tyler Galindo,Kanata Hongô,Brittney Karbowski,Suzuko Mimori
347,Giruti kuraun: Guilty Crown,2011–2012,7.1,NA,"4,258",23,"Animation, Action, Romance            ",Yûki Kaji,Ai Kayano,Kana Hanazawa,Kate Bristol
348,Kore wa Zombie desu ka?,2011–2012,7.1,NA,"1,500",25,"Animation, Action, Comedy            ",Cherami Leigh,Jad Saxton,Austin Tindle,Morgan Laure
349,Black Blood Brothers,2006–    ,7.1,NA,"1,122",15,"Animation, Action, Comedy            ",Leah Clark,Colleen Clinkenbeard,Omi Minami,Takahiro Sakurai
350,Witchblade,2006,7.1,NA,"1,300",30,"Animation, Action, Adventure            ",Jamie Marchi,Akemi Kanda,Rikiya Koyama,Cherami Leigh
351,Trinity Blood,2005,7.1,NA,"2,594",20,"Animation, Action, Drama            ",Hiroki Touchi,Russell Wait,Troy Baker,Mamiko Noto
352,Kidô senshi Gundam Seed Destiny,2004–2005,7.1,NA,"1,290",25,"Animation, Action, Drama            ",James Blight,Matthew Erickson,Vanessa Morley,Sam Vincent
353,Monster Farm: Enbanseki no himitsu,1999–2001,7.1,NA,"1,281",20,"Animation, Action, Adventure            ",Andrew Francis,Janyse Jaud,Scott McNeil,Maggie Blue O'Hara
354,Boruto: Naruto Next Generations,2017–    ,7,Not Rated,"9,629",23,"Animation, Action, Adventure            ",Yûko Sanpei,Kokoro Kikuchi,Ryûichi Kijima,Kenshô Ono
355,God Eater,2015–    ,7,NA,"1,597",24,"Animation, Action, Sci-Fi            ",Tomohisa Asô,Kira Buckland,Robbie Daymond,Dorah Fine
